gaussian_0_normalization, gaussian_0_sigma,gaussian_0_centre,gaussian_1_normalization, gaussian_1_sigma,gaussian_1_centre,     log_likelihood,             log_prior,       log_posterior,                 weight
       628591.3073234807, 0.17821564142521,10.76819859391396,    0.006328974703724514, 21.4928386688888,55.48108538192842,-113969919498056.03,    158.00347716353153, -113969919497898.03,                    0.0
   0.0015769203890772048, 7.26889345448843,26.24318375096511,       750691.6626348164, 3.21464062858446,88.63854243341902,-15453806221153.152,      634.147423691954, -15453806220519.006,                    0.0
  3.3220312138004514e-05, 5.28897448358859, 8.61269012528473,       765261.2844492183, 4.57739345674969,63.99469571519106,-11278353912755.725,    30102.065142831576,  -11278353882653.66,                    0.0
      13465.790854123312,  0.0362490382687,45.75232063244151,        956025.385869417, 7.67826381429776,54.10783016402123,-10493484743306.541, 7.530825276071337e-05, -10493484743306.541,                    0.0
       799325.0658694466, 7.46996066418967,26.09640876408206,   0.0005536923679914506,20.21664728023217,56.53774481756604, -7540025223664.045,    1806.0570426864554,  -7540025221857.988,                    0.0
    0.009824165070463532, 7.81350479963242,44.70957315270064,       968236.6984247561,11.17182344477031,60.64028438624328, -7397458575035.505,    101.78982162595797,  -7397458574933.715,                    0.0
        728620.873242984, 7.23854986283873,17.36427987967914,      2450.8734209471813,10.10030124407844,95.00171400457508, -6463920531547.768,0.00040939026351021575,  -6463920531547.768,                    0.0
       947772.4820832402,12.75226002104854,27.39237536940212,  1.0313248585764938e-05, 8.32745578006866,99.55157382048193, -6203505214298.048,      96962.6584383073,   -6203505117335.39,                    0.0
   9.445424804054238e-05, 1.72864608836669,  1.6848474730267,      274130.70289817196, 1.18092516401653, 63.1998637559403, -5609674488108.812,     10587.13632355986,  -5609674477521.675,                    0.0
      144340.56589847253, 0.64643264103975, 5.96189642209148,      60200.701244920485, 8.70705124701231,80.07188067134908,-2967133070362.7026, 2.353916148561329e-05, -2967133070362.7026,                    0.0
  0.00012679180138152273, 21.5021778292327,48.53607109954086,      349226.39188131364, 4.43464491130912,80.59578793805932, -2424371069330.621,      7886.94528721156,  -2424371061443.676,                    0.0
       578870.9288939305,12.54377787291052,48.42856723908226,   4.548392002781662e-05,   2.421811856656,99.46638736719515,  -2354927270312.04,    21985.791890122997,  -2354927248326.248,                    0.0
     0.09197516354354336,23.33920976744715,33.16792166121902,       606926.1154171041,15.16719165491234, 65.2770422304957,-2139450541081.9216,     10.87250202136556,  -2139450541071.049,                    0.0
