  gaussian_centre,gaussian_normalization,   gaussian_sigma,     log_likelihood,             log_prior,       log_posterior,                 weight
92.38051049136172,     472117.0300873042, 0.35014467363677,-31710142093549.797, 2.118118890596002e-06, -31710142093549.797,                    0.0
 37.8608150000454,     460201.4070309684, 3.71772011136666, -5021856034197.326,2.1729616309771666e-06,  -5021856034197.326,                    0.0
57.77550996456887,      480043.662078156, 4.25845091006215, -4770395847753.382,2.0831438450221424e-06,  -4770395847753.382,                    0.0
70.80820013975624,     477058.4639241733, 5.60273227472157,-3580871859878.4355,  2.09617913866202e-06, -3580871859878.4355,                    0.0
34.94579027009564,     660103.3645432632,12.61226622239698, -3045511689079.813,1.5149142599688414e-06,  -3045511689079.813,                    0.0
76.73857478984137,     681311.2715427466,16.87136810386637, -2357105991355.809,1.4677578982887242e-06,  -2357105991355.809,                    0.0
 39.6746638112757,     643932.4311428338,16.09467944168469,-2270663272776.0576,1.5529579683154444e-06, -2270663272776.0576,                    0.0
 65.6410346603986,     310100.6861483687, 5.67052061689405,-1494954790783.5332,3.2247590691287495e-06, -1494954790783.5332,                    0.0
55.35760130352949,     629091.8360571924,24.97865996947184,-1386925201213.8657,1.5895930334551144e-06, -1386925201213.8657,                    0.0
   65.36934726369,     263173.2786772957, 4.77650075759403,-1278260627829.4836,3.7997778688854067e-06, -1278260627829.4836,                    0.0
66.74659242466893,     535000.0782658505,23.00218934497393,-1072785909224.4635, 1.869158605063013e-06, -1072785909224.4635,                    0.0
 9.73165851502304,      343080.021994082,14.17444694735428, -619615388230.3071, 2.914771877965105e-06,  -619615388230.3071,                    0.0
49.92749783508709,     239355.3555285124, 8.69265144450652, -581000162427.2192, 4.177888553159524e-06,  -581000162427.2192,                    0.0
14.97151943964547,    135449.04371947347, 6.63141635313156,-243772315550.73877, 7.382850203587154e-06, -243772315550.73877,                    0.0
23.82422842158639,    118397.63532336566,10.34340774320308,-119420299578.69788,  8.44611463116486e-06, -119420299578.69786,                    0.0
18.59014356442376,     82461.80658071685,11.14326832205313, -53382055855.17331,1.2126826241930084e-05, -53382055855.173294,                    0.0
28.43277787786902,     74891.30988966157,13.73819743002061,-35937614808.347404,1.3352684062721219e-05,  -35937614808.34739,                    0.0
80.19654553178957,     44701.71365952235,10.40185911637386,-16861965587.363695, 2.237050703730639e-05, -16861965587.363672,                    0.0
99.39155913026518,     73513.18109641131, 16.2741624637285,-14746930031.367226,1.3603002687212198e-05, -14746930031.367212,                    0.0
98.50418876928588,     74040.78513047224,19.58945445911368,-13041972526.099558,1.3506069637671086e-05, -13041972526.099545,                    0.0
 6.06307266866818,    14107.039835368698, 2.29063062438542, -7658618127.148777, 7.088659362064275e-05,  -7658618127.148706,                    0.0
34.01346930301216,     9878.741014896983, 1.26336194960902, -6809634257.869397,0.00010122747407711327,  -6809634257.869296,                    0.0
 1.07271149167121,    14300.737813571488, 2.52965144913397, -5797807296.184113,  6.99264620494611e-05,  -5797807296.184043,                    0.0
 94.2406710647958,     37221.73400292853,16.88713275163243, -4847452051.229528, 2.686602402567602e-05,  -4847452051.229502,                    0.0
55.13869637116764,    15707.108214464384, 5.16847806066588, -4207711014.682024, 6.366544282665084e-05,   -4207711014.68196,                    0.0
35.15619984258929,     27408.49985786322,16.28082894209047,-4063515194.0254216, 3.648503220482205e-05,  -4063515194.025385,                    0.0
 97.2494853831761,    23045.496377728472,12.89715175475473,-2169038208.2295732, 4.339242616472412e-05,   -2169038208.22953,                    0.0
28.91386563146039,    22160.428118879507,21.82454092583901,-1927374728.3260157, 4.512548199139046e-05, -1927374728.3259706,                    0.0
 36.2070732126845,     9833.110050541301, 4.49693610861193,-1895446359.6188033,0.00010169722446510717, -1895446359.6187015,                    0.0
 69.2120471222313,     12007.04582559838,10.05394146215273, -1264105439.064038, 8.328443270101072e-05, -1264105439.0639548,                    0.0
83.69544339170082,    12121.621831771376,11.66049951978303,-1080248413.6960888, 8.249721150176045e-05, -1080248413.6960063,                    0.0
26.11234541649522,    14162.233634015149,17.62047412102828, -987018836.5808555, 7.061033067539424e-05,  -987018836.5807849,                    0.0
 82.9752193445143,    13615.459505170556,18.46769582708937, -793937605.6878906, 7.344592370314374e-05,  -793937605.6878172,                    0.0
60.53987278308131,    10805.093508165375, 23.7978810101728,  -427925899.494098,  9.25489445551122e-05, -427925899.49400544,                    0.0
87.43697428093316,       4319.6456677338, 7.94079962781062,-203893223.58948022, 0.0002315004694643453, -203893223.58924872,                    0.0
76.71605155169668,    7227.0338458027645, 23.8215049316117,-176252920.80097705,0.00013836935336628716, -176252920.80083868,                    0.0
62.42947480081107,     2424.902102853859, 3.03919302629187, -170572303.3992813, 0.0004123877820977199, -170572303.39886892,                    0.0
76.86687066382672,    3261.3929427132007,  6.4196419819998,-146076428.98742303, 0.0003066174538196202, -146076428.98711643,                    0.0
37.76368242896494,     2312.439216813025, 3.52949438389682,-133558256.88281623,0.00043244379905396505, -133558256.88238378,                    0.0
 5.25911281097238,    1798.1146814630993, 4.03389961908085, -69146771.50279997, 0.0005561380541013741,  -69146771.50224383,                    0.0
24.35408093337852,     4114.144890782328,20.98032368418127, -67770326.25363791, 0.0002430638751300381,  -67770326.25339484,                    0.0
 14.0545102105489,    3007.0706482789933,11.48385427126818, -66878158.38449642,0.00033254955302507443,  -66878158.38416387,                    0.0
58.09306689866776,      3023.98034070493,13.05513737317444, -61726205.51084114,0.00033068998053303704,  -61726205.51051045,                    0.0
 20.9688512469142,     4295.863849737996,24.38882176239744, -59582681.93501666,0.00023278205152171892,  -59582681.93478388,                    0.0
