      5_drawn_prior,      0_normalization,             0_sigma,     6_drawn_prior,     1_normalization,             1_sigma,     7_drawn_prior,      2_normalization,           2_sigma,     8_drawn_prior,      3_normalization,            3_sigma,     9_drawn_prior,       4_normalization,             4_sigma,9_distribution_model_mean,9_distribution_model_sigma,     log_likelihood,         log_prior,      log_posterior,                 weight
  37.95364895069068,   12.877265241333657,  0.1002937234125465,42.465277614066565,  1.0953216093105143,   7.127598562498748, 59.40764185719932,   1.3464088359538027, 6.389001862189249, 61.60774919101376,     3.87532621269466,0.08234942324827088,49.609566119929696,     5.429679554915678,  17.831756237687223,        46.59977845017382,        15.949791722767387, -662297.1797760662,  4.90420455995185, -662292.2755715062,                    0.0
 61.882231135312196,   10.792244709181192,  0.1129969165502267, 56.91627336419707,   5.340063172103859,    11.2324801595182, 42.13360983172439,    8.872600384108274,12.354504674560824, 65.27673696241698,  0.21425454303807134,  4.479277011769748,13.392180547839935,    13.801667653379303,  10.960773853134448,        41.75978887772436,        10.468675197739167,-155329.20262362662,7.8078765813580135,-155321.39474704527,                    0.0
  58.64482109829818,   10.117705189021112,  0.5731426217358369,11.987641981672354, 0.10993518647197531,   9.211027882656289,  50.8363358320169,   2.1047196946971627, 27.98851030109878, 29.38255240218297,    6.463984752705764,  7.743462573368077,27.525366895340465,   0.05831296327745461,    23.0700760917872,       60.006224187579335,       0.20047602262362396, -70100.92724264492,10.038772236274024, -70090.88847040864,                    0.0
 49.843610316116404,    10.73468920437556, 0.27976616723458037,50.712579639458255,   2.097738323709585,   9.749527328387266, 58.48565318684555,    4.262093225565968,0.6725858438790855, 66.95120403127508,   15.672835154587164, 2.5126317867940653, 71.10685423002982,    1.4999040544494742,   4.896097870565554,       46.922479999114955,        16.967112244542054, -65227.18539847513, 7.844847555179532, -65219.34055091995,                    0.0
 48.784768654703676,    5.628555260990767,  13.363717443782578, 54.68432419037647,    6.71929862731201,  21.482876618766042, 31.95132531750884,   2.8652729298944295,16.800271719746267, 41.70417267926659,    8.756351785325734, 0.9650221982565093,41.232846702473225,     9.143204603789403, 0.16489825903017774,        36.80740959914729,         9.974349943299325,-28389.827304665447, 5.160385630907106, -28384.66691903454,                    0.0
   26.4003888731038,    3.114262569864629,   13.18215596477939, 79.95019986848777,  1.6531593556307043,  22.091602746099994, 49.49992103022475,   1.2327089589370293,22.409200280767493,10.611949815997818,   12.757789617746713, 14.731182340240665, 70.83749202503324,    11.640777587605651,   0.576629153822104,        54.29291187386046,        15.216545464294297, -22823.24708012076, 10.54025772746124,  -22812.7068223933,                    0.0
  86.16931819268687,    4.797357707536571,0.048113892232485966,   71.112102800605,   7.250260168878277,   4.417336695375285, 27.21228915648568,    1.572821233267064, 11.14136884062163,55.049194254827086,    10.55412473065591, 0.5692588497096782,54.231331207745114,     5.447545128381492,  20.942972271178835,       43.394757816803725,         14.11854888662138,-19807.581325315325,  6.88189697668543,-19800.699428338638,                    0.0
  53.47315033615493,    6.159463352282561,   9.278961046757415, 61.12375936987889,  2.2090989067010804,   5.307402200144475,28.288986198912013,    4.585748622143068, 3.093798678016541, 61.10156414404442,   2.2977244853655843,   8.16348992268366, 76.27876298421083,    10.518755513365027,   0.533439217691777,        56.74681537175987,        16.110995206709738,-18951.267184711218, 4.969783416676126, -18946.29740129454,                    0.0
 45.710418949963284,    9.015143407346809, 0.26864535733067463, 64.47721044436261,   1.889392564071897,  17.109221068779924, 63.19744935583888,   4.7440440767562135, 2.907367129586002, 81.74330941917277,    2.752629213090786,  17.60232405042025, 37.59721334069644,     2.617737453514169,  31.172154571419636,        52.02318592165143,        16.571638912192135,-18432.575530410333, 7.160026233850509,-18425.415504176483,                    0.0
 49.438709877664465,    6.050216781032442,   15.20057514291003, 75.38974827724681,  1.6053432235162102,   7.399726423301349,22.718537877465593,   10.111809226701292,0.5653243879914136, 64.30019594426682,   12.293958578194639,  17.87989090809301, 76.33923542646473,     4.884140196583773,    8.35181609133624,       61.163472668888275,        10.862810059210512,-17191.032983270346, 7.470594678882949,-17183.562388591465,                    0.0
