  gaussian_centre,gaussian_normalization,   gaussian_sigma,     log_likelihood,             log_prior,      log_posterior,                 weight
 8.81183364511965,     866359.5005178585, 4.33146526749988,-15258634178012.254,1.1542552478529515e-06,-15258634178012.254,                    0.0
22.15999101967092,     906723.7848962543,13.62719959753546, -5268923630755.284,1.1028716977071668e-06, -5268923630755.284,                    0.0
71.02527455036065,      973729.081654914,18.06866817948545, -4566216910002.987,1.0269796998364648e-06, -4566216910002.987,                    0.0
 7.36025650612428,     406810.6614700659,  3.9054779646018, -3727694492152.793, 2.458145999385472e-06, -3727694492152.793,                    0.0
45.92897564839451,     478967.3246776621, 6.34890734741668, -3185349003967.497, 2.087825094693015e-06, -3185349003967.497,                    0.0
57.99435482718914,     683049.0907985001,17.06579276781515, -2409323448468.267,1.4640236162688936e-06, -2409323448468.267,                    0.0
62.51534154014031,     765406.2060392366,23.99563634786098,-2120565607794.6145,1.3064958085128689e-06,-2120565607794.6145,                    0.0
13.28851945412533,    209680.77129763173, 2.54624267822629,-1522165319284.6487, 4.769154528626511e-06,-1522165319284.6487,                    0.0
55.22910901246374,     393539.2421717283,12.45704659161549,-1095984637296.7952,2.5410426530313617e-06,-1095984637296.7952,                    0.0
85.51043681043518,      264663.340159211, 7.44064146520593, -826679195088.1732, 3.778385020752929e-06, -826679195088.1732,                    0.0
 99.7831997418528,     519725.9468380517,23.37541778143024, -502371619715.2514, 1.924090967718422e-06, -502371619715.2514,                    0.0
74.12456159296794,    180433.04391384384, 6.54544170612112,-438468017196.33997, 5.542222080327463e-06,-438468017196.33997,                    0.0
92.03864036890629,     358888.7445727185,22.71670159459264,  -339322978443.926,2.7863788294352003e-06,  -339322978443.926,                    0.0
44.08750765178808,    172940.58943564232, 8.49590953808614,-310331831335.99603, 5.782332552833917e-06,-310331831335.99603,                    0.0
88.25237653498212,    201976.11594622958,10.89060664319179,-306461363311.84515,4.9510804548109124e-06,-306461363311.84515,                    0.0
92.11856761869556,    184455.87711951483, 8.90335310916625,-296368624672.30115, 5.421350707909774e-06,-296368624672.30115,                    0.0
59.25805181246258,     213562.7666491335,17.82934128628553,-225346724752.17886,4.6824641565115135e-06,-225346724752.17886,                    0.0
53.60002617045448,      181815.097692101,15.36154256263691,-189697297015.64816, 5.500093296396503e-06,-189697297015.64816,                    0.0
37.87162478118991,    116648.40792407937, 7.04964476239838,-170150329792.34552, 8.572770240043482e-06,-170150329792.34552,                    0.0
 3.89292924234121,    179067.66184736099,12.05851326729464, -163363298661.4728, 5.584481249620659e-06, -163363298661.4728,                    0.0
12.13222979722114,    183222.72786869976, 16.7789057620356,-151077980418.98837, 5.457838182152901e-06,-151077980418.98837,                    0.0
 6.83768508587887,       73765.940106915, 3.51447830664233,-136287450041.14865,1.3556391995419814e-05,-136287450041.14864,                    0.0
69.61421863690497,     157042.4895401357,18.55476963839599,-115841069602.66621, 6.367703434454456e-06,-115841069602.66621,                    0.0
30.80844277388188,     117744.3664962872, 14.6572474920143, -83276686827.32303, 8.492975330854005e-06, -83276686827.32301,                    0.0
 81.4850508839029,     102562.2990342999,12.25369246353773, -74256115988.80574, 9.750171451066733e-06, -74256115988.80573,                    0.0
  41.737811983584,     80041.34436076353,11.21875813204593, -50341053130.08908,1.2493543280492458e-05,-50341053130.089066,                    0.0
 8.10536350348503,     5179.182616201308, 0.11547554167891, -43516202664.98934,0.00019308066042541942, -43516202664.98915,                    0.0
 5.64826915144699,     60185.16012296966, 7.99358914150731,-34432668613.708786,1.6615391534338547e-05, -34432668613.70877,                    0.0
 17.1139054630637,     79141.71361070934,18.17633485015093,-27788407463.511955,1.2635561632123688e-05,-27788407463.511944,                    0.0
47.69232083691454,     51362.29684774528, 11.4469558852337,-20315722934.443142, 1.946953429602902e-05,-20315722934.443123,                    0.0
11.44754373991102,     33760.92036016795,10.86966072148776,  -8690148629.81408,2.9620045583230818e-05, -8690148629.814049,                    0.0
19.02691790053012,    42860.936597258515,20.64425001210684, -7134821782.292728,2.3331268035425114e-05, -7134821782.292706,                    0.0
91.78900050235823,     33394.13325645701,12.65110725749017, -6261338028.844135, 2.994537969649631e-05, -6261338028.844106,                    0.0
42.99547710286147,    31160.627651708666,16.59549449848489,-5157026353.6678505, 3.209177976699599e-05, -5157026353.667818,                    0.0
 72.4315791026814,      36551.8327568226,23.12687718965676, -4843388899.077429, 2.735840926645038e-05, -4843388899.077401,                    0.0
62.15193743444551,     27506.65967765819,23.25853844856352, -2834193975.264801,3.6354832310381644e-05, -2834193975.264765,                    0.0
64.68178537678122,     19914.07999511883,15.01007117995566, -2327734905.644682, 5.021572677447873e-05, -2327734905.644632,                    0.0
 65.1495885453824,     11805.72796334091,  5.4628946084898,    -2248991058.262, 8.470464533023251e-05, -2248991058.261915,                    0.0
 8.02831239084083,     7073.760705304392, 4.45405837452268,  -987136665.148314,0.00014136751887155742, -987136665.1481726,                    0.0
17.87293326454678,    14376.964236281128,24.14105569820096, -648420338.4522996, 6.955571312311123e-05, -648420338.4522301,                    0.0
96.41727651711027,     8421.129965652557, 7.96077036166117, -556186533.1099098,0.00011874890947874233,  -556186533.109791,                    0.0
